source,interaction,target
RPS27A_UBE2V1,1,TRIM15
UBE2E2_UBE2I,1,TRIM15
UBA52_UBE2M,1,TRIM15
UBE2I_UBE2Q2,1,TRIM15
UBA52_UBE2L6,1,TRIM15
UBE2I_UBE2J2,1,TRIM15
UBA52_UBE2N,1,TRIM15
UBB_UBE2D1,1,TRIM15
UBA52_UBE2Z,1,TRIM15
RPS27A_UBE2E3,1,TRIM15
UBE2I_UBE2Z,1,TRIM15
UBE2I_UBE2L3,1,TRIM15
UBA52_UBE2B,1,TRIM15
UBA52_UBE2Q1,1,TRIM15
UBE2I_UBE2T,1,TRIM15
BIRC6_UBA52,1,TRIM15
RPS27A_UBE2V2,1,TRIM15
RPS27A_UBE2L3,1,TRIM15
UBA52_UBE2D3,1,TRIM15
UBB_UBE2M,1,TRIM15
UBA52_UBE2V2,1,TRIM15
UBB_UBE2V2,1,TRIM15
RPS27A_UBE2L6,1,TRIM15
UBB_UBE2G1,1,TRIM15
UBA52_UBE2E2,1,TRIM15
UBA52_UBE2U,1,TRIM15
RPS27A_UBE2Q1,1,TRIM15
UBA52_UBE2L3,1,TRIM15
UBB_UBE2R2,1,TRIM15
UBE2D3_UBE2I,1,TRIM15
RPS27A_UBE2D2,1,TRIM15
UBE2B_UBE2I,1,TRIM15
RPS27A_UBE2U,1,TRIM15
UBA52_UBE2A,1,TRIM15
UBA52_UBE2J1,1,TRIM15
UBA52_UBE2J2,1,TRIM15
UBB_UBE2J2,1,TRIM15
UBE2I,1,TRIM15
UBA52_UBE2E3,1,TRIM15
UBB_UBE2NL,1,TRIM15
RPS27A_UBE2D3,1,TRIM15
RPS27A_UBE2S,1,TRIM15
UBB_UBE2J1,1,TRIM15
UBA52_UBE2H,1,TRIM15
UBE2I_UBE2M,1,TRIM15
UBE2I_UBE2U,1,TRIM15
UBE2I_UBE2S,1,TRIM15
UBE2D4_UBE2I,1,TRIM15
UBB_UBE2L3,1,TRIM15
UBB_UBE2W,1,TRIM15
UBB_UBE2U,1,TRIM15
UBA52_UBE2S,1,TRIM15
UBB_UBE2E3,1,TRIM15
RPS27A_UBE2A,1,TRIM15
UBB_UBE2E2,1,TRIM15
UBA52_UBE2R2,1,TRIM15
UBB_UBE2D4,1,TRIM15
RPS27A_UBE2D1,1,TRIM15
UBB_UBE2Q2,1,TRIM15
UBA52_UBE2L5,1,TRIM15
UBE2E1_UBE2I,1,TRIM15
UBA52_UBE2K,1,TRIM15
UBA52_UBE2D2,1,TRIM15
UBB_UBE2D2,1,TRIM15
UBE2I_UBE2L5,1,TRIM15
RPS27A_UBE2L5,1,TRIM15
UBB_UBE2I,1,TRIM15
RPS27A_UBE2M,1,TRIM15
UBE2I_UBE2Q1,1,TRIM15
UBE2I_UBE2N,1,TRIM15
RPS27A_UBE2C,1,TRIM15
UBE2I_UBE2K,1,TRIM15
UBB_UBE2T,1,TRIM15
UBA52_UBE2NL,1,TRIM15
RPS27A_UBE2Z,1,TRIM15
UBE2C_UBE2I,1,TRIM15
UBB_UBE2G2,1,TRIM15
RPS27A_UBE2E2,1,TRIM15
UBB_UBE2L5,1,TRIM15
UBA52_UBE2T,1,TRIM15
RPS27A_UBE2N,1,TRIM15
UBE2I_UBE2V1,1,TRIM15
BIRC6_UBB,1,TRIM15
UBA52_UBE2E1,1,TRIM15
RPS27A_UBE2K,1,TRIM15
RPS27A_UBE2G2,1,TRIM15
UBA52_UBE2D4,1,TRIM15
BIRC6_UBE2I,1,TRIM15
UBE2D2_UBE2I,1,TRIM15
UBE2I_UBE2R2,1,TRIM15
RPS27A_UBE2T,1,TRIM15
UBB_UBE2N,1,TRIM15
UBE2H_UBE2I,1,TRIM15
RPS27A_UBE2J1,1,TRIM15
RPS27A_UBE2J2,1,TRIM15
UBA52_UBE2Q2,1,TRIM15
UBE2I_UBE2L6,1,TRIM15
UBB_UBE2K,1,TRIM15
UBA52_UBE2G2,1,TRIM15
RPS27A_UBE2NL,1,TRIM15
UBE2I_UBE2J1,1,TRIM15
RPS27A_UBE2Q2,1,TRIM15
RPS27A_UBE2W,1,TRIM15
RPS27A_UBE2E1,1,TRIM15
UBB_UBE2Q1,1,TRIM15
UBB_UBE2S,1,TRIM15
RPS27A_UBE2R2,1,TRIM15
UBE2D1_UBE2I,1,TRIM15
UBA52_UBE2G1,1,TRIM15
RPS27A_UBE2H,1,TRIM15
RPS27A_UBE2B,1,TRIM15
UBB_UBE2L6,1,TRIM15
UBE2I_UBE2V2,1,TRIM15
UBB_UBE2D3,1,TRIM15
UBB_UBE2V1,1,TRIM15
UBA52_UBE2W,1,TRIM15
UBB_UBE2B,1,TRIM15
UBA52_UBE2V1,1,TRIM15
UBB_UBE2Z,1,TRIM15
UBB_UBE2E1,1,TRIM15
UBA52_UBE2C,1,TRIM15
BIRC6_RPS27A,1,TRIM15
UBB_UBE2A,1,TRIM15
UBE2I_UBE2NL,1,TRIM15
UBB_UBE2C,1,TRIM15
UBE2E3_UBE2I,1,TRIM15
RPS27A_UBE2G1,1,TRIM15
RPS27A_UBE2I,1,TRIM15
UBA52_UBE2I,1,TRIM15
UBE2G2_UBE2I,1,TRIM15
UBA52_UBE2D1,1,TRIM15
UBE2A_UBE2I,1,TRIM15
RPS27A_UBE2D4,1,TRIM15
UBB_UBE2H,1,TRIM15
LIPH,1,LPAR2
SKP1,1,CUL1
P2RY14,1,GNAI1
DOK1,-1,ITGB3
NLGN4X,1,DLG4
DNER,1,NOTCH1
IRF1,1,IRF8
UBE2G1_UBE2I,1,TRIM4
UBE2I_UBE2W,1,TRIM4
RPS27A_UBE2V1,1,TRIM4
UBE2E2_UBE2I,1,TRIM4
UBA52_UBE2M,1,TRIM4
UBE2I_UBE2Q2,1,TRIM4
UBA52_UBE2L6,1,TRIM4
UBE2I_UBE2J2,1,TRIM4
UBA52_UBE2N,1,TRIM4
UBB_UBE2D1,1,TRIM4
UBA52_UBE2Z,1,TRIM4
RPS27A_UBE2E3,1,TRIM4
UBE2I_UBE2Z,1,TRIM4
UBE2I_UBE2L3,1,TRIM4
UBA52_UBE2B,1,TRIM4
UBA52_UBE2Q1,1,TRIM4
UBE2I_UBE2T,1,TRIM4
BIRC6_UBA52,1,TRIM4
RPS27A_UBE2V2,1,TRIM4
RPS27A_UBE2L3,1,TRIM4
UBA52_UBE2D3,1,TRIM4
UBB_UBE2M,1,TRIM4
UBA52_UBE2V2,1,TRIM4
UBB_UBE2V2,1,TRIM4
RPS27A_UBE2L6,1,TRIM4
UBB_UBE2G1,1,TRIM4
UBA52_UBE2E2,1,TRIM4
UBA52_UBE2U,1,TRIM4
RPS27A_UBE2Q1,1,TRIM4
UBA52_UBE2L3,1,TRIM4
UBB_UBE2R2,1,TRIM4
UBE2D3_UBE2I,1,TRIM4
RPS27A_UBE2D2,1,TRIM4
UBE2B_UBE2I,1,TRIM4
RPS27A_UBE2U,1,TRIM4
UBA52_UBE2A,1,TRIM4
UBA52_UBE2J1,1,TRIM4
UBA52_UBE2J2,1,TRIM4
UBB_UBE2J2,1,TRIM4
UBE2I,1,TRIM4
UBA52_UBE2E3,1,TRIM4
UBB_UBE2NL,1,TRIM4
RPS27A_UBE2D3,1,TRIM4
RPS27A_UBE2S,1,TRIM4
UBB_UBE2J1,1,TRIM4
UBA52_UBE2H,1,TRIM4
UBE2I_UBE2M,1,TRIM4
UBE2I_UBE2U,1,TRIM4
UBE2I_UBE2S,1,TRIM4
UBE2D4_UBE2I,1,TRIM4
UBB_UBE2L3,1,TRIM4
UBB_UBE2W,1,TRIM4
UBB_UBE2U,1,TRIM4
UBA52_UBE2S,1,TRIM4
UBB_UBE2E3,1,TRIM4
RPS27A_UBE2A,1,TRIM4
UBB_UBE2E2,1,TRIM4
UBA52_UBE2R2,1,TRIM4
UBB_UBE2D4,1,TRIM4
RPS27A_UBE2D1,1,TRIM4
UBB_UBE2Q2,1,TRIM4
UBA52_UBE2L5,1,TRIM4
UBE2E1_UBE2I,1,TRIM4
UBA52_UBE2K,1,TRIM4
UBA52_UBE2D2,1,TRIM4
UBB_UBE2D2,1,TRIM4
UBE2I_UBE2L5,1,TRIM4
RPS27A_UBE2L5,1,TRIM4
UBB_UBE2I,1,TRIM4
RPS27A_UBE2M,1,TRIM4
UBE2I_UBE2Q1,1,TRIM4
UBE2I_UBE2N,1,TRIM4
RPS27A_UBE2C,1,TRIM4
UBE2I_UBE2K,1,TRIM4
UBB_UBE2T,1,TRIM4
UBA52_UBE2NL,1,TRIM4
RPS27A_UBE2Z,1,TRIM4
UBE2C_UBE2I,1,TRIM4
UBB_UBE2G2,1,TRIM4
RPS27A_UBE2E2,1,TRIM4
UBB_UBE2L5,1,TRIM4
UBA52_UBE2T,1,TRIM4
RPS27A_UBE2N,1,TRIM4
UBE2I_UBE2V1,1,TRIM4
BIRC6_UBB,1,TRIM4
UBA52_UBE2E1,1,TRIM4
RPS27A_UBE2K,1,TRIM4
RPS27A_UBE2G2,1,TRIM4
UBA52_UBE2D4,1,TRIM4
BIRC6_UBE2I,1,TRIM4
UBE2D2_UBE2I,1,TRIM4
UBE2I_UBE2R2,1,TRIM4
RPS27A_UBE2T,1,TRIM4
UBB_UBE2N,1,TRIM4
UBE2H_UBE2I,1,TRIM4
RPS27A_UBE2J1,1,TRIM4
RPS27A_UBE2J2,1,TRIM4
UBA52_UBE2Q2,1,TRIM4
UBE2I_UBE2L6,1,TRIM4
UBB_UBE2K,1,TRIM4
UBA52_UBE2G2,1,TRIM4
RPS27A_UBE2NL,1,TRIM4
UBE2I_UBE2J1,1,TRIM4
RPS27A_UBE2Q2,1,TRIM4
RPS27A_UBE2W,1,TRIM4
RPS27A_UBE2E1,1,TRIM4
UBB_UBE2Q1,1,TRIM4
UBB_UBE2S,1,TRIM4
RPS27A_UBE2R2,1,TRIM4
UBE2D1_UBE2I,1,TRIM4
UBA52_UBE2G1,1,TRIM4
RPS27A_UBE2H,1,TRIM4
RPS27A_UBE2B,1,TRIM4
UBB_UBE2L6,1,TRIM4
UBE2I_UBE2V2,1,TRIM4
UBB_UBE2D3,1,TRIM4
UBB_UBE2V1,1,TRIM4
UBA52_UBE2W,1,TRIM4
UBB_UBE2B,1,TRIM4
UBA52_UBE2V1,1,TRIM4
UBB_UBE2Z,1,TRIM4
UBB_UBE2E1,1,TRIM4
UBA52_UBE2C,1,TRIM4
BIRC6_RPS27A,1,TRIM4
UBB_UBE2A,1,TRIM4
UBE2I_UBE2NL,1,TRIM4
UBB_UBE2C,1,TRIM4
UBE2E3_UBE2I,1,TRIM4
RPS27A_UBE2G1,1,TRIM4
RPS27A_UBE2I,1,TRIM4
UBA52_UBE2I,1,TRIM4
UBE2G2_UBE2I,1,TRIM4
UBA52_UBE2D1,1,TRIM4
UBE2A_UBE2I,1,TRIM4
RPS27A_UBE2D4,1,TRIM4
UBB_UBE2H,1,TRIM4
FZD3,1,GNA12
ABL1,-1,UBE3A
EP300,1,DUSP1
PAK3,-1,CALD1
COL1A1,1,DDR1
PLK1,1,TERF1
CDK5,1,GRIN2A
PPP4C,1,TP53BP1
SYNJ1,1,MYO1E
PABPC4,1,NFX1
STK3,1,NEK2
UBE2G1_UBE2I,1,RCHY1
UBE2I_UBE2W,1,RCHY1
RPS27A_UBE2V1,1,RCHY1
UBE2E2_UBE2I,1,RCHY1
UBA52_UBE2M,1,RCHY1
UBE2I_UBE2Q2,1,RCHY1
UBA52_UBE2L6,1,RCHY1
UBE2I_UBE2J2,1,RCHY1
UBA52_UBE2N,1,RCHY1
UBB_UBE2D1,1,RCHY1
UBA52_UBE2Z,1,RCHY1
RPS27A_UBE2E3,1,RCHY1
UBE2I_UBE2Z,1,RCHY1
UBE2I_UBE2L3,1,RCHY1
UBA52_UBE2B,1,RCHY1
UBA52_UBE2Q1,1,RCHY1
UBE2I_UBE2T,1,RCHY1
BIRC6_UBA52,1,RCHY1
RPS27A_UBE2V2,1,RCHY1
RPS27A_UBE2L3,1,RCHY1
UBA52_UBE2D3,1,RCHY1
UBB_UBE2M,1,RCHY1
UBA52_UBE2V2,1,RCHY1
UBB_UBE2V2,1,RCHY1
RPS27A_UBE2L6,1,RCHY1
UBB_UBE2G1,1,RCHY1
UBA52_UBE2E2,1,RCHY1
UBA52_UBE2U,1,RCHY1
RPS27A_UBE2Q1,1,RCHY1
UBA52_UBE2L3,1,RCHY1
UBB_UBE2R2,1,RCHY1
UBE2D3_UBE2I,1,RCHY1
RPS27A_UBE2D2,1,RCHY1
UBE2B_UBE2I,1,RCHY1
RPS27A_UBE2U,1,RCHY1
UBA52_UBE2A,1,RCHY1
UBA52_UBE2J1,1,RCHY1
UBA52_UBE2J2,1,RCHY1
UBB_UBE2J2,1,RCHY1
UBE2I,1,RCHY1
UBA52_UBE2E3,1,RCHY1
UBB_UBE2NL,1,RCHY1
RPS27A_UBE2D3,1,RCHY1
RPS27A_UBE2S,1,RCHY1
UBB_UBE2J1,1,RCHY1
UBA52_UBE2H,1,RCHY1
UBE2I_UBE2M,1,RCHY1
UBE2I_UBE2U,1,RCHY1
UBE2I_UBE2S,1,RCHY1
UBE2D4_UBE2I,1,RCHY1
UBB_UBE2L3,1,RCHY1
UBB_UBE2W,1,RCHY1
UBB_UBE2U,1,RCHY1
UBA52_UBE2S,1,RCHY1
UBB_UBE2E3,1,RCHY1
RPS27A_UBE2A,1,RCHY1
UBB_UBE2E2,1,RCHY1
UBA52_UBE2R2,1,RCHY1
UBB_UBE2D4,1,RCHY1
RPS27A_UBE2D1,1,RCHY1
UBB_UBE2Q2,1,RCHY1
UBA52_UBE2L5,1,RCHY1
UBE2E1_UBE2I,1,RCHY1
UBA52_UBE2K,1,RCHY1
UBA52_UBE2D2,1,RCHY1
UBB_UBE2D2,1,RCHY1
UBE2I_UBE2L5,1,RCHY1
RPS27A_UBE2L5,1,RCHY1
UBB_UBE2I,1,RCHY1
RPS27A_UBE2M,1,RCHY1
UBE2I_UBE2Q1,1,RCHY1
UBE2I_UBE2N,1,RCHY1
RPS27A_UBE2C,1,RCHY1
UBE2I_UBE2K,1,RCHY1
UBB_UBE2T,1,RCHY1
UBA52_UBE2NL,1,RCHY1
RPS27A_UBE2Z,1,RCHY1
UBE2C_UBE2I,1,RCHY1
UBB_UBE2G2,1,RCHY1
RPS27A_UBE2E2,1,RCHY1
UBB_UBE2L5,1,RCHY1
UBA52_UBE2T,1,RCHY1
RPS27A_UBE2N,1,RCHY1
UBE2I_UBE2V1,1,RCHY1
BIRC6_UBB,1,RCHY1
UBA52_UBE2E1,1,RCHY1
RPS27A_UBE2K,1,RCHY1
RPS27A_UBE2G2,1,RCHY1
UBA52_UBE2D4,1,RCHY1
BIRC6_UBE2I,1,RCHY1
UBE2D2_UBE2I,1,RCHY1
UBE2I_UBE2R2,1,RCHY1
RPS27A_UBE2T,1,RCHY1
UBB_UBE2N,1,RCHY1
UBE2H_UBE2I,1,RCHY1
RPS27A_UBE2J1,1,RCHY1
RPS27A_UBE2J2,1,RCHY1
UBA52_UBE2Q2,1,RCHY1
UBE2I_UBE2L6,1,RCHY1
UBB_UBE2K,1,RCHY1
UBA52_UBE2G2,1,RCHY1
RPS27A_UBE2NL,1,RCHY1
UBE2I_UBE2J1,1,RCHY1
RPS27A_UBE2Q2,1,RCHY1
RPS27A_UBE2W,1,RCHY1
RPS27A_UBE2E1,1,RCHY1
UBB_UBE2Q1,1,RCHY1
UBB_UBE2S,1,RCHY1
RPS27A_UBE2R2,1,RCHY1
UBE2D1_UBE2I,1,RCHY1
UBA52_UBE2G1,1,RCHY1
RPS27A_UBE2H,1,RCHY1
RPS27A_UBE2B,1,RCHY1
UBB_UBE2L6,1,RCHY1
UBE2I_UBE2V2,1,RCHY1
UBB_UBE2D3,1,RCHY1
UBB_UBE2V1,1,RCHY1
UBA52_UBE2W,1,RCHY1
UBB_UBE2B,1,RCHY1
UBA52_UBE2V1,1,RCHY1
UBB_UBE2Z,1,RCHY1
UBB_UBE2E1,1,RCHY1
UBA52_UBE2C,1,RCHY1
BIRC6_RPS27A,1,RCHY1
UBB_UBE2A,1,RCHY1
UBE2I_UBE2NL,1,RCHY1
UBB_UBE2C,1,RCHY1
UBE2E3_UBE2I,1,RCHY1
RPS27A_UBE2G1,1,RCHY1
RPS27A_UBE2I,1,RCHY1
UBA52_UBE2I,1,RCHY1
UBE2G2_UBE2I,1,RCHY1
UBA52_UBE2D1,1,RCHY1
UBE2A_UBE2I,1,RCHY1
RPS27A_UBE2D4,1,RCHY1
UBB_UBE2H,1,RCHY1
MYD88,1,TRAF3
UBE2G1_UBE2I,1,RNF32
UBE2I_UBE2W,1,RNF32
RPS27A_UBE2V1,1,RNF32
UBE2E2_UBE2I,1,RNF32
UBA52_UBE2M,1,RNF32
UBE2I_UBE2Q2,1,RNF32
UBA52_UBE2L6,1,RNF32
UBE2I_UBE2J2,1,RNF32
UBA52_UBE2N,1,RNF32
UBB_UBE2D1,1,RNF32
UBA52_UBE2Z,1,RNF32
RPS27A_UBE2E3,1,RNF32
UBE2I_UBE2Z,1,RNF32
UBE2I_UBE2L3,1,RNF32
UBA52_UBE2B,1,RNF32
UBA52_UBE2Q1,1,RNF32
UBE2I_UBE2T,1,RNF32
BIRC6_UBA52,1,RNF32
RPS27A_UBE2V2,1,RNF32
RPS27A_UBE2L3,1,RNF32
UBA52_UBE2D3,1,RNF32
UBB_UBE2M,1,RNF32
UBA52_UBE2V2,1,RNF32
UBB_UBE2V2,1,RNF32
RPS27A_UBE2L6,1,RNF32
UBB_UBE2G1,1,RNF32
UBA52_UBE2E2,1,RNF32
UBA52_UBE2U,1,RNF32
RPS27A_UBE2Q1,1,RNF32
UBA52_UBE2L3,1,RNF32
UBB_UBE2R2,1,RNF32
UBE2D3_UBE2I,1,RNF32
RPS27A_UBE2D2,1,RNF32
UBE2B_UBE2I,1,RNF32
RPS27A_UBE2U,1,RNF32
UBA52_UBE2A,1,RNF32
UBA52_UBE2J1,1,RNF32
UBA52_UBE2J2,1,RNF32
UBB_UBE2J2,1,RNF32
UBE2I,1,RNF32
UBA52_UBE2E3,1,RNF32
UBB_UBE2NL,1,RNF32
RPS27A_UBE2D3,1,RNF32
RPS27A_UBE2S,1,RNF32
UBB_UBE2J1,1,RNF32
UBA52_UBE2H,1,RNF32
UBE2I_UBE2M,1,RNF32
UBE2I_UBE2U,1,RNF32
UBE2I_UBE2S,1,RNF32
UBE2D4_UBE2I,1,RNF32
UBB_UBE2L3,1,RNF32
UBB_UBE2W,1,RNF32
UBB_UBE2U,1,RNF32
UBA52_UBE2S,1,RNF32
UBB_UBE2E3,1,RNF32
RPS27A_UBE2A,1,RNF32
UBB_UBE2E2,1,RNF32
UBA52_UBE2R2,1,RNF32
UBB_UBE2D4,1,RNF32
RPS27A_UBE2D1,1,RNF32
UBB_UBE2Q2,1,RNF32
UBA52_UBE2L5,1,RNF32
UBE2E1_UBE2I,1,RNF32
UBA52_UBE2K,1,RNF32
UBA52_UBE2D2,1,RNF32
UBB_UBE2D2,1,RNF32
UBE2I_UBE2L5,1,RNF32
RPS27A_UBE2L5,1,RNF32
UBB_UBE2I,1,RNF32
RPS27A_UBE2M,1,RNF32
UBE2I_UBE2Q1,1,RNF32
UBE2I_UBE2N,1,RNF32
RPS27A_UBE2C,1,RNF32
UBE2I_UBE2K,1,RNF32
UBB_UBE2T,1,RNF32
UBA52_UBE2NL,1,RNF32
RPS27A_UBE2Z,1,RNF32
UBE2C_UBE2I,1,RNF32
UBB_UBE2G2,1,RNF32
RPS27A_UBE2E2,1,RNF32
UBB_UBE2L5,1,RNF32
UBA52_UBE2T,1,RNF32
RPS27A_UBE2N,1,RNF32
UBE2I_UBE2V1,1,RNF32
BIRC6_UBB,1,RNF32
UBA52_UBE2E1,1,RNF32
RPS27A_UBE2K,1,RNF32
RPS27A_UBE2G2,1,RNF32
UBA52_UBE2D4,1,RNF32
BIRC6_UBE2I,1,RNF32
UBE2D2_UBE2I,1,RNF32
UBE2I_UBE2R2,1,RNF32
RPS27A_UBE2T,1,RNF32
UBB_UBE2N,1,RNF32
UBE2H_UBE2I,1,RNF32
RPS27A_UBE2J1,1,RNF32
RPS27A_UBE2J2,1,RNF32
UBA52_UBE2Q2,1,RNF32
UBE2I_UBE2L6,1,RNF32
UBB_UBE2K,1,RNF32
UBA52_UBE2G2,1,RNF32
RPS27A_UBE2NL,1,RNF32
UBE2I_UBE2J1,1,RNF32
RPS27A_UBE2Q2,1,RNF32
RPS27A_UBE2W,1,RNF32
RPS27A_UBE2E1,1,RNF32
UBB_UBE2Q1,1,RNF32
UBB_UBE2S,1,RNF32
RPS27A_UBE2R2,1,RNF32
UBE2D1_UBE2I,1,RNF32
UBA52_UBE2G1,1,RNF32
RPS27A_UBE2H,1,RNF32
RPS27A_UBE2B,1,RNF32
UBB_UBE2L6,1,RNF32
UBE2I_UBE2V2,1,RNF32
UBB_UBE2D3,1,RNF32
UBB_UBE2V1,1,RNF32
UBA52_UBE2W,1,RNF32
UBB_UBE2B,1,RNF32
UBA52_UBE2V1,1,RNF32
UBB_UBE2Z,1,RNF32
UBB_UBE2E1,1,RNF32
UBA52_UBE2C,1,RNF32
BIRC6_RPS27A,1,RNF32
UBB_UBE2A,1,RNF32
UBE2I_UBE2NL,1,RNF32
UBB_UBE2C,1,RNF32
UBE2E3_UBE2I,1,RNF32
RPS27A_UBE2G1,1,RNF32
RPS27A_UBE2I,1,RNF32
UBA52_UBE2I,1,RNF32
UBE2G2_UBE2I,1,RNF32
UBA52_UBE2D1,1,RNF32
UBE2A_UBE2I,1,RNF32
RPS27A_UBE2D4,1,RNF32
UBB_UBE2H,1,RNF32
PKN1,1,RAF1
GIGYF2,1,GRB10
PPP2CA,-1,STK4
PTPRA,-1,LYN
UBE2G1_UBE2I,1,ZBTB12
UBE2I_UBE2W,1,ZBTB12
RPS27A_UBE2V1,1,ZBTB12
UBE2E2_UBE2I,1,ZBTB12
UBA52_UBE2M,1,ZBTB12
UBE2I_UBE2Q2,1,ZBTB12
UBA52_UBE2L6,1,ZBTB12
UBE2I_UBE2J2,1,ZBTB12
UBA52_UBE2N,1,ZBTB12
UBB_UBE2D1,1,ZBTB12
UBA52_UBE2Z,1,ZBTB12
RPS27A_UBE2E3,1,ZBTB12
UBE2I_UBE2Z,1,ZBTB12
UBE2I_UBE2L3,1,ZBTB12
UBA52_UBE2B,1,ZBTB12
UBA52_UBE2Q1,1,ZBTB12
UBE2I_UBE2T,1,ZBTB12
BIRC6_UBA52,1,ZBTB12
RPS27A_UBE2V2,1,ZBTB12
RPS27A_UBE2L3,1,ZBTB12
UBA52_UBE2D3,1,ZBTB12
UBB_UBE2M,1,ZBTB12
UBA52_UBE2V2,1,ZBTB12
UBB_UBE2V2,1,ZBTB12
RPS27A_UBE2L6,1,ZBTB12
UBB_UBE2G1,1,ZBTB12
UBA52_UBE2E2,1,ZBTB12
UBA52_UBE2U,1,ZBTB12
RPS27A_UBE2Q1,1,ZBTB12
UBA52_UBE2L3,1,ZBTB12
UBB_UBE2R2,1,ZBTB12
UBE2D3_UBE2I,1,ZBTB12
RPS27A_UBE2D2,1,ZBTB12
UBE2B_UBE2I,1,ZBTB12
RPS27A_UBE2U,1,ZBTB12
UBA52_UBE2A,1,ZBTB12
UBA52_UBE2J1,1,ZBTB12
UBA52_UBE2J2,1,ZBTB12
UBB_UBE2J2,1,ZBTB12
UBE2I,1,ZBTB12
UBA52_UBE2E3,1,ZBTB12
UBB_UBE2NL,1,ZBTB12
RPS27A_UBE2D3,1,ZBTB12
RPS27A_UBE2S,1,ZBTB12
UBB_UBE2J1,1,ZBTB12
UBA52_UBE2H,1,ZBTB12
UBE2I_UBE2M,1,ZBTB12
UBE2I_UBE2U,1,ZBTB12
UBE2I_UBE2S,1,ZBTB12
UBE2D4_UBE2I,1,ZBTB12
UBB_UBE2L3,1,ZBTB12
UBB_UBE2W,1,ZBTB12
UBB_UBE2U,1,ZBTB12
UBA52_UBE2S,1,ZBTB12
UBB_UBE2E3,1,ZBTB12
RPS27A_UBE2A,1,ZBTB12
UBB_UBE2E2,1,ZBTB12
UBA52_UBE2R2,1,ZBTB12
UBB_UBE2D4,1,ZBTB12
RPS27A_UBE2D1,1,ZBTB12
UBB_UBE2Q2,1,ZBTB12
UBA52_UBE2L5,1,ZBTB12
UBE2E1_UBE2I,1,ZBTB12
UBA52_UBE2K,1,ZBTB12
UBA52_UBE2D2,1,ZBTB12
UBB_UBE2D2,1,ZBTB12
UBE2I_UBE2L5,1,ZBTB12
RPS27A_UBE2L5,1,ZBTB12
UBB_UBE2I,1,ZBTB12
RPS27A_UBE2M,1,ZBTB12
UBE2I_UBE2Q1,1,ZBTB12
UBE2I_UBE2N,1,ZBTB12
RPS27A_UBE2C,1,ZBTB12
UBE2I_UBE2K,1,ZBTB12
UBB_UBE2T,1,ZBTB12
UBA52_UBE2NL,1,ZBTB12
RPS27A_UBE2Z,1,ZBTB12
UBE2C_UBE2I,1,ZBTB12
UBB_UBE2G2,1,ZBTB12
RPS27A_UBE2E2,1,ZBTB12
UBB_UBE2L5,1,ZBTB12
UBA52_UBE2T,1,ZBTB12
RPS27A_UBE2N,1,ZBTB12
UBE2I_UBE2V1,1,ZBTB12
BIRC6_UBB,1,ZBTB12
UBA52_UBE2E1,1,ZBTB12
RPS27A_UBE2K,1,ZBTB12
RPS27A_UBE2G2,1,ZBTB12
UBA52_UBE2D4,1,ZBTB12
BIRC6_UBE2I,1,ZBTB12
UBE2D2_UBE2I,1,ZBTB12
UBE2I_UBE2R2,1,ZBTB12
RPS27A_UBE2T,1,ZBTB12
UBB_UBE2N,1,ZBTB12
UBE2H_UBE2I,1,ZBTB12
RPS27A_UBE2J1,1,ZBTB12
RPS27A_UBE2J2,1,ZBTB12
UBA52_UBE2Q2,1,ZBTB12
UBE2I_UBE2L6,1,ZBTB12
UBB_UBE2K,1,ZBTB12
UBA52_UBE2G2,1,ZBTB12
RPS27A_UBE2NL,1,ZBTB12
UBE2I_UBE2J1,1,ZBTB12
RPS27A_UBE2Q2,1,ZBTB12
RPS27A_UBE2W,1,ZBTB12
RPS27A_UBE2E1,1,ZBTB12
UBB_UBE2Q1,1,ZBTB12
UBB_UBE2S,1,ZBTB12
RPS27A_UBE2R2,1,ZBTB12
UBE2D1_UBE2I,1,ZBTB12
UBA52_UBE2G1,1,ZBTB12
RPS27A_UBE2H,1,ZBTB12
RPS27A_UBE2B,1,ZBTB12
UBB_UBE2L6,1,ZBTB12
UBE2I_UBE2V2,1,ZBTB12
UBB_UBE2D3,1,ZBTB12
UBB_UBE2V1,1,ZBTB12
UBA52_UBE2W,1,ZBTB12
UBB_UBE2B,1,ZBTB12
UBA52_UBE2V1,1,ZBTB12
UBB_UBE2Z,1,ZBTB12
UBB_UBE2E1,1,ZBTB12
UBA52_UBE2C,1,ZBTB12
BIRC6_RPS27A,1,ZBTB12
UBB_UBE2A,1,ZBTB12
UBE2I_UBE2NL,1,ZBTB12
UBB_UBE2C,1,ZBTB12
UBE2E3_UBE2I,1,ZBTB12
RPS27A_UBE2G1,1,ZBTB12
RPS27A_UBE2I,1,ZBTB12
UBA52_UBE2I,1,ZBTB12
UBE2G2_UBE2I,1,ZBTB12
UBA52_UBE2D1,1,ZBTB12
UBE2A_UBE2I,1,ZBTB12
RPS27A_UBE2D4,1,ZBTB12
UBB_UBE2H,1,ZBTB12
CCNB1_CDK1,1,SQSTM1
HRH1,1,GNA14
ASH2L_DPY30_KMT2D_RBBP5_SETD1A_SETD1B_WDR5,-1,H3C12
WWTR1,1,RUNX2
PAK1,-1,ARHGDIA
UBE2G1_UBE2I,1,RNF38
UBE2I_UBE2W,1,RNF38
RPS27A_UBE2V1,1,RNF38
UBE2E2_UBE2I,1,RNF38
UBA52_UBE2M,1,RNF38
